sample,gt_label,pred_label,cls_prob,seg_status,n_polygons,dice,iou
IMG0000002,0,0,0.042648445814847946,TN,0,,
IMG0000009,0,0,0.05893413722515106,TN,0,,
IMG0000013,0,0,0.0810033306479454,TN,0,,
IMG0000022,0,0,0.00912583526223898,TN,0,,
IMG0000027,0,0,0.0008990929345600307,TN,0,,
IMG0000031,0,0,0.06688762456178665,TN,0,,
IMG0000081,0,1,0.8844066858291626,FP,0,0.0,0.0
IMG0000104,0,0,0.029193904250860214,TN,0,,
IMG0000116,0,0,0.13944031298160553,TN,0,,
IMG0000123,0,0,0.1391078531742096,TN,0,,
IMG0000132,0,0,0.013502963818609715,TN,0,,
IMG0000139,0,0,0.04696749895811081,TN,0,,
IMG0000144,1,1,0.9757068157196045,TP,1,0.8633993864059448,0.7596330046653748
IMG0000151,1,0,0.11877428740262985,FN,,,
IMG0000166,0,0,0.02937777154147625,TN,0,,
IMG0000168,0,0,0.07185061275959015,TN,0,,
IMG0000174,0,0,0.06637299805879593,TN,0,,
IMG0000176,0,0,0.011362618766725063,TN,0,,
IMG0000187,0,0,0.016823360696434975,TN,0,,
IMG0000202,0,0,0.24475997686386108,TN,0,,
IMG0000212,0,0,0.021514834836125374,TN,0,,
IMG0000213,0,0,0.029193207621574402,TN,0,,
IMG0000223,0,0,0.020903509110212326,TN,0,,
IMG0000245,0,0,0.005513262469321489,TN,0,,
IMG0000250,0,0,0.10155519843101501,TN,0,,
IMG0000257,0,0,0.21167151629924774,TN,0,,
IMG0000264,0,1,0.7483510971069336,FP,0,0.0,0.0
IMG0000267,0,0,0.005814841482788324,TN,0,,
IMG0000269,0,0,0.027134563773870468,TN,0,,
IMG0000270,0,0,0.2750810980796814,TN,0,,
IMG0000277,0,1,0.5146804451942444,FP,0,0.0,0.0
IMG0000279,0,0,0.14920780062675476,TN,0,,
IMG0000314,0,0,0.11928141862154007,TN,0,,
IMG0000317,0,0,0.2480935901403427,TN,0,,
IMG0000322,0,0,0.06438273936510086,TN,0,,
IMG0000343,0,0,0.007509597111493349,TN,0,,
IMG0000356,0,0,0.008057374507188797,TN,0,,
IMG0000377,0,0,0.018597794696688652,TN,0,,
IMG0000385,0,0,0.16769368946552277,TN,0,,
IMG0000388,0,0,0.14040866494178772,TN,0,,
IMG0000396,0,0,0.001594174769707024,TN,0,,
IMG0000425,0,0,0.0023060860112309456,TN,0,,
IMG0000435,0,0,0.0008088702452369034,TN,0,,
IMG0000448,0,1,0.842197060585022,FP,0,0.0,0.0
IMG0000453,1,1,0.9981482028961182,TP,1,0.8903400301933289,0.8023539185523987
IMG0000454,1,1,0.9947413206100464,TP,1,0.8353127241134644,0.7171992063522339
IMG0000483,0,0,0.0003795238444581628,TN,0,,
IMG0000500,0,0,0.06732995808124542,TN,0,,
IMG0000502,0,0,0.014205388724803925,TN,0,,
IMG0000507,0,0,0.011892749927937984,TN,0,,
IMG0000522,0,0,0.0006450609653256834,TN,0,,
IMG0000538,0,0,0.32404381036758423,TN,0,,
IMG0000540,0,0,0.11798597127199173,TN,0,,
IMG0000542,0,0,0.029394134879112244,TN,0,,
IMG0000547,0,0,0.09985720366239548,TN,0,,
IMG0000548,0,0,0.056450266391038895,TN,0,,
